"name","lat","lng","popup"
"大多喜駅","35.287003","140.244306","大多喜駅<br>（発）<br>6:15<br>8:30<br>11:15<br>16:25<br>18:10<br>20:55<br><br>（着）7:45<br>10:25<br>15:05<br>17:45<br>20:10<br>22:55"
"大多喜（オリブ）","35.289175","140.253801","大多喜（オリブ）<br>（発）<br>6:20<br>8:35<br>11:20<br>16:30<br>18:15<br>21:00<br><br>（着）7:40<br>10:20<br>15:00<br>17:40<br>20:05<br>22:50"
